frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
5	787.856127000	-46.4659	66.8395	78.2221	1324922.84057065	-4344518.81026169	4469259.44392106
72	788.022895000	-46.4659	66.8398	78.2219	1324915.09657741	-4344507.67113415	4469272.48130782
156	788.239648000	-46.4642	66.8376	78.2187	1324905.02940575	-4344493.19024517	4469289.42985149
390	788.823269000	-46.466	66.841	78.2208	1324877.92543635	-4344454.20284469	4469335.06037222
471	789.006711000	-46.4605	66.8267	78.2302	1324869.40709661	-4344441.94969014	4469349.40138051
678	789.523586000	-46.466	66.8421	78.2199	1324845.40066594	-4344407.41725335	4469389.81632448
749	789.690362000	-46.466	66.8424	78.2197	1324837.65666514	-4344396.27769577	4469402.85333933
834	789.890462000	-46.466	66.8427	78.2194	1324828.36388787	-4344382.91025081	4469418.49779183
914	790.090558000	-46.4623	66.8308	78.2317	1324819.07110951	-4344369.54274393	4469434.14219079
993	790.257304000	-46.4623	66.8311	78.2315	1324811.32710616	-4344358.40304014	4469447.17907918
1056	790.424059000	-46.466	66.8435	78.2187	1324803.58310205	-4344347.26329334	4469460.21593038
1128	790.590857000	-46.466	66.8438	78.2185	1324795.83909719	-4344336.12350354	4469473.25274438
1220	790.824274000	-46.466	66.8441	78.2182	1324784.99747678	-4344320.52768513	4469491.50417961
1310	791.041032000	-46.4643	66.8419	78.2149	1324774.93028865	-4344306.04585696	4469508.45191102
1554	791.624657000	-46.466	66.8454	78.2171	1324747.82627492	-4344267.05592787	4469554.08024487
1635	791.808095000	-46.4606	66.831	78.2265	1324739.30792126	-4344254.80197862	4469568.42056586
1854	792.341667000	-46.4643	66.8439	78.2132	1324714.52704606	-4344219.15323638	4469610.13712622
2078	792.891912000	-46.4624	66.8352	78.228	1324688.97185193	-4344182.39033648	4469653.15731471
2135	793.025350000	-46.4661	66.8475	78.2152	1324682.77661453	-4344173.47791803	4469663.58624472
2209	793.242110000	-46.4643	66.8453	78.212	1324672.70941349	-4344158.99535193	4469680.5333379
2455	793.825737000	-46.4661	66.8488	78.2141	1324645.60536502	-4344120.00343613	4469726.15995341
2527	794.025835000	-46.4624	66.8369	78.2265	1324636.31256535	-4344106.63471142	4469741.80329906
2596	794.192584000	-46.4624	66.8372	78.2262	1324628.56854426	-4344095.49399277	4469754.83930968
2674	794.342672000	-46.4644	66.847	78.2105	1324621.59889597	-4344085.46718854	4469766.57151634
2893	794.909604000	-46.4644	66.8479	78.2098	1324595.26926566	-4344047.5884537	4469810.89372804
3123	795.476541000	-46.4607	66.8367	78.2216	1324568.93962668	-4344009.70922176	4469855.21550976
3363	796.043501000	-46.4644	66.8497	78.2083	1324542.60991737	-4343971.82929049	4469899.53665199
3589	796.643800000	-46.4644	66.8506	78.2074	1324514.73141758	-4343931.72066943	4469946.46453784
3831	797.227413000	-46.4662	66.854	78.2096	1324487.62731559	-4343892.72568335	4469992.08849761
3917	797.410851000	-46.4645	66.8518	78.2064	1324479.10887253	-4343880.46994252	4470006.42723437
4128	797.927728000	-46.4662	66.8551	78.2087	1324455.10238619	-4343845.93098937	4470046.83657661
4182	798.094506000	-46.4662	66.8554	78.2084	1324447.35834757	-4343834.78926451	4470059.87171685
4265	798.277947000	-46.4645	66.8531	78.2053	1324438.83990024	-4343822.53327773	4470074.21024085
4483	798.811497000	-46.4645	66.854	78.2045	1324414.05899365	-4343786.87939874	4470115.92239252
4737	799.445177000	-46.4645	66.8549	78.2037	1324384.63166486	-4343744.53987082	4470165.4551041
4984	800.028791000	-46.4663	66.8584	78.2058	1324357.52751894	-4343705.54235636	4470211.07687666
5051	800.228889000	-46.4626	66.8465	78.2181	1324348.23468588	-4343692.1717121	4470226.71856186
5124	800.395640000	-46.4626	66.8468	78.2179	1324340.49063696	-4343681.02939385	4470239.75318877
5194	800.562391000	-46.4626	66.847	78.2177	1324332.74658729	-4343669.8870326	4470252.78777848
5268	800.729133000	-46.4663	66.8594	78.2049	1324325.00253687	-4343658.74462834	4470265.82233099
5342	800.929234000	-46.4626	66.8476	78.2172	1324315.70970005	-4343645.37376738	4470281.46382871
5401	801.062833000	-46.4663	66.86	78.2045	1324309.5144338	-4343636.45969084	4470291.89132442
5404	801.079307000	-46.4646	66.8575	78.2015	1324308.74002459	-4343635.34539969	4470293.19468288
5654	801.679588000	-46.4646	66.8584	78.2007	1324280.86144363	-4343595.23210372	4470340.1185246
5899	802.296580000	-46.4663	66.8619	78.2028	1324252.20847588	-4343554.00408838	4470388.34547393
5988	802.480037000	-46.4646	66.8596	78.1996	1324243.69000789	-4343541.74690968	4470402.68296678
6191	803.013593000	-46.4646	66.8605	78.1989	1324218.9090412	-4343506.08956327	4470444.39211875
6419	803.597192000	-46.4664	66.8639	78.2011	1324191.80483952	-4343467.08882822	4470490.01110508
6506	803.763977000	-46.4664	66.8641	78.2008	1324184.06077556	-4343455.9456414	4470503.04498056
6585	803.980778000	-46.4646	66.862	78.1976	1324173.99351199	-4343441.45947539	4470519.98895957
6811	804.514338000	-46.4646	66.8628	78.1969	1324149.21252391	-4343405.80089065	4470561.69704016
7042	805.097960000	-46.4664	66.8662	78.1991	1324122.10829882	-4343366.79880119	4470607.31485466
7049	805.114874000	-46.4647	66.8637	78.1961	1324121.33388782	-4343365.68440599	4470608.61812309
7071	805.131313000	-46.4664	66.8662	78.199	1324120.55944777	-4343364.56996855	4470609.92144004
7124	805.281463000	-46.4647	66.864	78.1959	1324113.5898171	-4343354.5408279	4470621.65166004
7304	805.731596000	-46.4627	66.855	78.2108	1324092.68086344	-4343324.45311338	4470656.842237
7369	805.865020000	-46.4664	66.8674	78.198	1324086.48558008	-4343315.53804619	4470667.26887559
7436	806.065134000	-46.4627	66.8556	78.2103	1324077.19271579	-4343302.16559602	4470682.90899839
7527	806.265209000	-46.4664	66.868	78.1975	1324067.89978879	-4343288.79288173	4470698.54885807
7598	806.448638000	-46.4647	66.8658	78.1943	1324059.38136301	-4343276.53477958	4470712.88558654
7836	807.015570000	-46.4647	66.8667	78.1936	1324033.05148708	-4343238.64522871	4470757.19840654
8064	807.615867000	-46.4647	66.8676	78.1928	1324005.17281099	-4343198.52642224	4470804.11748055
8305	808.166112000	-46.4628	66.8588	78.2075	1323979.61739146	-4343161.75052459	4470847.1264247
8353	808.299542000	-46.4665	66.8711	78.1948	1323973.42209945	-4343152.83495521	4470857.55262877
8442	808.499653000	-46.4665	66.8715	78.1945	1323964.1292222	-4343139.46175176	4470873.19209977
8526	808.716404000	-46.4648	66.8693	78.1913	1323954.06193128	-4343124.97399832	4470890.13470528
